page_id,title,studio,type,owner,vendor,supplier,contract_item,start_date,end_date,cost,currency,wiki_url
936693596,"2026.03 Claude Standard license 3월 2차 추가 구매(4차구매)","KRAFTON HQ","S/W","이윤슬","ANTHROPIC, PBC","ANTHROPIC, PBC","Claude Standard","2026-03-16","2026-08-19","29782.30","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/936693596"
940614851,"2026.03 ServiceNow Professional Plus 제품 추가","KRAFTON HQ","SW Subscription","이윤슬","ServiceNow Australia Pty Ltd","프리모리스 엔젯 리미티드 (IKC)","ServiceNow Professional Plus","2026-03-29","2029-01-08","42735.00","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/940614851"
943658301,"2026.03 26년 SAP ERP 및 연계시스템 통합유지보수 변경 계약_ASPN","KRAFTON HQ","용역","이윤슬","ASPN","ASPN","SAP ERP 및 연계시스템 통합유지보수 - Concur 운영 용역 추가","2026-04-01","2026-12-31","52800000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/943658301"
947628004,"2026.03 2026년 03월 Microsoft 라이선스 구매","KRAFTON HQ","S/W","이윤슬","Microsoft","제니스클라우드","PowerBI Pro","2026-03-24","2027-01-31","478800","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/947628004"
947957740,"2026.03 26년 Atlassian Cloud License 1,000 Agents 2년차 비용품의_디무브","KRAFTON HQ","SW Subscription","이윤슬","Atlassian","디무브","Atlassian Jira/Confluence Cloud Enterprise * 1,000 Agents","2026-03-17","2027-03-17","282881931","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/947957740"
953734893,"2026.04 SentinelOne 100copy 추가 구매","KRAFTON HQ","S/W","임태호","SentinelOne, Inc.","주식회사 에스케어","SingularityCommercial (perServer) 100copy","2026-04-19","2027-01-18","14250000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/953734893"
955288299,"2026.04 Streams Charts Kick 플랫폼 추가 구매","KRAFTON HQ","SW Subscription","이윤슬","ESM.ONE INC","ESM.ONE INC","Streams Charts Pro - Kick 플랫폼 데이터 액세스","2026-03-23","2026-09-12","432","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/955288299"
959249602,"2026.04 회의실 예약솔루션 Robin 추가 라이선스 계약","KRAFTON HQ","SW Subscription","이윤슬","Robin Powered, Inc","Robin Powered, Inc","Premier Platform Spaces","2026-04-01","2028-07-23","21233.47","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/959249602"
825137847,"2026.01 Bluehole Studio) Perforce Helix core Perpetual New_플래티어","Bluehole","S/W","이윤슬","Perforce","(주)플래티어","Perforce Helix core Perpetual New * 10 seats","2026-01-15","2027-01-14","13228240","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/825137847"
849871870,"2026.01 유선전화 연간비용","Bluehole","네트워크","이윤슬","SKB","SKB","2026년 유선전화","2026-01-01","2026-12-31","120000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/849871870"
946930129,"2026.03 OmniCraft Labs) Perforce Helix core Subscription License Add-on","OmniCraft","S/W","이윤슬","Perforce","플래티어","Perforce Helix core Subscription * 5 seat Add-on","2026-03-27","2026-05-11","510000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/946930129"
923015574,"2026년 03월 (26년 02월 사용분) Cloud 사용 비용 품의","클라우드","Cloud","이윤슬","복합(Akamai/AWS/Azure/Datadog/GCP/GWS/Tencent/Yandex)","복합","8개 cloud 서비스 월별 사용 비용","2026-02-01","2026-02-28","12464246686","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/923015574"
890768325,"2026년 02월 (26년 01월 사용분) Cloud 사용 비용 품의","클라우드","Cloud","이윤슬","복합(Akamai/AWS/Azure/Datadog/GCP/GWS/Tencent/Yandex)","복합","8개 cloud 서비스 월별 사용 비용","2026-01-01","2026-01-31","10456526612","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/890768325"
858806418,"2026년 01월 (25년 12월 사용분) Cloud 사용 비용 품의","클라우드","Cloud","이윤슬","복합(Akamai/AWS/Azure/Datadog/GCP/GWS/Tencent/Yandex)","복합","8개 cloud 서비스 월별 사용 비용","2025-12-01","2025-12-31","13671816858","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/858806418"
